,0
row_id,45.0
answered_correctly,5.0
group_num,0.0
,0
row_id,145.0
answered_correctly,5.0
group_num,2.0
,0
row_id,245.0
answered_correctly,5.0
group_num,10.0
,0
row_id,349.0
answered_correctly,5.0
group_num,10.0
,0
row_id,455.0
answered_correctly,5.0
group_num,15.0
,0
row_id,564.0
answered_correctly,5.0
group_num,20.0
,0
row_id,669.0
answered_correctly,5.0
group_num,20.0
,0
row_id,775.0
answered_correctly,5.0
group_num,29.0
,0
row_id,894.0
answered_correctly,5.0
group_num,30.0
,0
row_id,995.0
answered_correctly,5.0
group_num,30.0
,0
row_id,426.0
answered_correctly,2.0
group_num,12.0
